KLEE: WARNING ONCE: function "Wait_for_input" has inline asm
KLEE: WARNING: undefined reference to function: BZ2_bzCompress
KLEE: WARNING: undefined reference to function: BZ2_bzCompressEnd
KLEE: WARNING: undefined reference to function: BZ2_bzCompressInit
KLEE: WARNING: undefined reference to function: __isoc99_sscanf
KLEE: WARNING: undefined reference to function: alarm
KLEE: WARNING: undefined reference to function: compress2
KLEE: WARNING: undefined reference to function: compressBound
KLEE: WARNING: undefined reference to function: deflate
KLEE: WARNING: undefined reference to function: deflateEnd
KLEE: WARNING: undefined reference to function: deflateInit2_
KLEE: WARNING: undefined reference to function: deflateInit_
KLEE: WARNING: undefined reference to function: getxattr
KLEE: WARNING: undefined reference to function: inflate
KLEE: WARNING: undefined reference to function: inflateEnd
KLEE: WARNING: undefined reference to function: inflateInit2_
KLEE: WARNING: undefined reference to function: lgetxattr
KLEE: WARNING: undefined reference to function: listxattr
KLEE: WARNING: undefined reference to function: llistxattr
KLEE: WARNING: undefined reference to function: lremovexattr
KLEE: WARNING: undefined reference to function: lsetxattr
KLEE: WARNING: undefined reference to function: pthread_attr_init
KLEE: WARNING: undefined reference to function: pthread_attr_setdetachstate
KLEE: WARNING: undefined reference to function: pthread_cancel
KLEE: WARNING: undefined reference to function: pthread_cond_destroy
KLEE: WARNING: undefined reference to function: pthread_cond_init
KLEE: WARNING: undefined reference to function: pthread_cond_signal
KLEE: WARNING: undefined reference to function: pthread_cond_wait
KLEE: WARNING: undefined reference to function: pthread_create
KLEE: WARNING: undefined reference to function: pthread_equal
KLEE: WARNING: undefined reference to function: pthread_exit
KLEE: WARNING: undefined reference to function: pthread_join
KLEE: WARNING: undefined reference to function: pthread_mutex_destroy
KLEE: WARNING: undefined reference to function: pthread_mutex_init
KLEE: WARNING: undefined reference to function: pthread_mutex_lock
KLEE: WARNING: undefined reference to function: pthread_mutex_unlock
KLEE: WARNING: undefined reference to function: pthread_self
KLEE: WARNING: undefined reference to function: pthread_sigmask
KLEE: WARNING: undefined reference to function: removexattr
KLEE: WARNING: undefined reference to function: setxattr
KLEE: WARNING: undefined reference to function: truncate
KLEE: WARNING: undefined reference to function: uncompress
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 93970468005088) at /home/minjong/learch/klee/runtime/POSIX/fd.c:991 10
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: Alignment of memory from call "calloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling external: gettimeofday(93970473447904, 0) at /home/minjong/learch/klee/build/runtime/POSIX/home/minjong/learch/klee/runtime/POSIX/stubs.c:171 0
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_mutex_init(93970434232176, 0) at ../xorriso/base_obj.c:102 9
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: vprintf(93970220827792, 93970509269536) at libc/stdio/fprintf.c:35 14
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_mutex_lock(93970298116760) at ../libisofs/libiso_msgs.c:169 6
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_mutex_unlock(93970292209688) at ../libburn/libdax_msgs.c:180 6
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: getpid() at ../libburn/init.c:542 20
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_self() at ../libburn/init.c:543 23
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: sigaction: silently ignoring
KLEE: WARNING ONCE: calling external: pthread_mutex_destroy(93970292209688) at ../libburn/libdax_msgs.c:209 44
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: uname(93972490666816) at ../libburn/sg-linux.c:299 18
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: geteuid() at ../libisoburn/isoburn.c:865 5
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: getegid() at ../libisoburn/isoburn.c:866 5
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING: killing 358 states out of 13419 (over memory cap)
KLEE: WARNING: killing 320 states out of 13275 (over memory cap)
KLEE: WARNING: killing 324 states out of 13197 (over memory cap)
KLEE: WARNING: killing 360 states out of 13162 (over memory cap)
KLEE: WARNING: killing 332 states out of 13030 (over memory cap)
KLEE: WARNING: killing 312 states out of 12937 (over memory cap)
KLEE: WARNING: killing 326 states out of 12897 (over memory cap)
KLEE: WARNING: killing 309 states out of 12799 (over memory cap)
KLEE: WARNING: killing 306 states out of 12705 (over memory cap)
KLEE: WARNING: killing 316 states out of 12628 (over memory cap)
KLEE: WARNING: killing 305 states out of 12515 (over memory cap)
KLEE: WARNING: killing 323 states out of 12440 (over memory cap)
KLEE: WARNING: killing 299 states out of 12298 (over memory cap)
KLEE: WARNING: killing 308 states out of 12176 (over memory cap)
KLEE: WARNING: killing 294 states out of 12067 (over memory cap)
KLEE: WARNING: killing 300 states out of 11977 (over memory cap)
KLEE: WARNING: killing 285 states out of 11842 (over memory cap)
KLEE: WARNING: killing 286 states out of 11730 (over memory cap)
KLEE: WARNING: killing 281 states out of 11639 (over memory cap)
KLEE: WARNING: killing 292 states out of 11575 (over memory cap)
KLEE: WARNING: killing 280 states out of 11491 (over memory cap)
KLEE: WARNING: killing 289 states out of 11452 (over memory cap)
KLEE: WARNING: killing 283 states out of 11419 (over memory cap)
KLEE: WARNING: killing 277 states out of 11385 (over memory cap)
KLEE: WARNING: killing 279 states out of 11368 (over memory cap)
KLEE: WARNING: killing 279 states out of 11338 (over memory cap)
KLEE: WARNING: killing 272 states out of 11280 (over memory cap)
KLEE: WARNING: killing 279 states out of 11233 (over memory cap)
KLEE: WARNING: killing 272 states out of 11180 (over memory cap)
KLEE: WARNING: killing 268 states out of 11129 (over memory cap)
KLEE: WARNING: killing 270 states out of 11107 (over memory cap)
KLEE: WARNING: killing 272 states out of 11073 (over memory cap)
KLEE: WARNING: killing 274 states out of 11043 (over memory cap)
KLEE: WARNING: killing 270 states out of 10989 (over memory cap)
KLEE: WARNING: killing 264 states out of 10956 (over memory cap)
KLEE: WARNING: killing 266 states out of 10942 (over memory cap)
KLEE: WARNING: killing 287 states out of 10964 (over memory cap)
KLEE: WARNING: killing 263 states out of 10917 (over memory cap)
KLEE: WARNING: killing 263 states out of 10905 (over memory cap)
KLEE: WARNING: killing 262 states out of 10859 (over memory cap)
KLEE: WARNING: killing 261 states out of 10843 (over memory cap)
KLEE: WARNING: killing 292 states out of 10859 (over memory cap)
KLEE: WARNING: killing 281 states out of 10832 (over memory cap)
KLEE: WARNING: killing 259 states out of 10760 (over memory cap)
KLEE: WARNING: killing 266 states out of 10726 (over memory cap)
KLEE: WARNING: killing 262 states out of 10668 (over memory cap)
KLEE: WARNING: killing 259 states out of 10641 (over memory cap)
KLEE: WARNING: killing 257 states out of 10656 (over memory cap)
KLEE: WARNING: killing 261 states out of 10704 (over memory cap)
KLEE: WARNING: killing 265 states out of 10692 (over memory cap)
KLEE: WARNING: killing 257 states out of 10658 (over memory cap)
KLEE: WARNING: killing 260 states out of 10676 (over memory cap)
KLEE: WARNING: killing 260 states out of 10672 (over memory cap)
KLEE: WARNING: killing 257 states out of 10656 (over memory cap)
KLEE: WARNING: killing 269 states out of 10658 (over memory cap)
KLEE: WARNING: killing 258 states out of 10618 (over memory cap)
KLEE: WARNING: killing 261 states out of 10606 (over memory cap)
KLEE: WARNING: killing 257 states out of 10577 (over memory cap)
KLEE: WARNING: killing 255 states out of 10562 (over memory cap)
KLEE: WARNING: killing 260 states out of 10563 (over memory cap)
KLEE: WARNING: killing 255 states out of 10561 (over memory cap)
KLEE: WARNING: killing 255 states out of 10592 (over memory cap)
KLEE: WARNING: killing 255 states out of 10594 (over memory cap)
KLEE: WARNING: killing 265 states out of 10590 (over memory cap)
KLEE: WARNING: killing 260 states out of 10566 (over memory cap)
KLEE: WARNING: killing 262 states out of 10554 (over memory cap)
KLEE: WARNING: killing 261 states out of 10526 (over memory cap)
KLEE: WARNING: killing 255 states out of 10494 (over memory cap)
KLEE: WARNING: killing 255 states out of 10473 (over memory cap)
KLEE: WARNING: killing 252 states out of 10448 (over memory cap)
KLEE: WARNING: killing 253 states out of 10478 (over memory cap)
KLEE: WARNING: killing 252 states out of 10469 (over memory cap)
KLEE: WARNING: killing 254 states out of 10447 (over memory cap)
