KLEE: WARNING ONCE: function "Wait_for_input" has inline asm
KLEE: WARNING: undefined reference to function: BZ2_bzCompress
KLEE: WARNING: undefined reference to function: BZ2_bzCompressEnd
KLEE: WARNING: undefined reference to function: BZ2_bzCompressInit
KLEE: WARNING: undefined reference to function: __isoc99_sscanf
KLEE: WARNING: undefined reference to function: alarm
KLEE: WARNING: undefined reference to function: compress2
KLEE: WARNING: undefined reference to function: compressBound
KLEE: WARNING: undefined reference to function: deflate
KLEE: WARNING: undefined reference to function: deflateEnd
KLEE: WARNING: undefined reference to function: deflateInit2_
KLEE: WARNING: undefined reference to function: deflateInit_
KLEE: WARNING: undefined reference to function: getxattr
KLEE: WARNING: undefined reference to function: inflate
KLEE: WARNING: undefined reference to function: inflateEnd
KLEE: WARNING: undefined reference to function: inflateInit2_
KLEE: WARNING: undefined reference to function: lgetxattr
KLEE: WARNING: undefined reference to function: listxattr
KLEE: WARNING: undefined reference to function: llistxattr
KLEE: WARNING: undefined reference to function: lremovexattr
KLEE: WARNING: undefined reference to function: lsetxattr
KLEE: WARNING: undefined reference to function: pthread_attr_init
KLEE: WARNING: undefined reference to function: pthread_attr_setdetachstate
KLEE: WARNING: undefined reference to function: pthread_cancel
KLEE: WARNING: undefined reference to function: pthread_cond_destroy
KLEE: WARNING: undefined reference to function: pthread_cond_init
KLEE: WARNING: undefined reference to function: pthread_cond_signal
KLEE: WARNING: undefined reference to function: pthread_cond_wait
KLEE: WARNING: undefined reference to function: pthread_create
KLEE: WARNING: undefined reference to function: pthread_equal
KLEE: WARNING: undefined reference to function: pthread_exit
KLEE: WARNING: undefined reference to function: pthread_join
KLEE: WARNING: undefined reference to function: pthread_mutex_destroy
KLEE: WARNING: undefined reference to function: pthread_mutex_init
KLEE: WARNING: undefined reference to function: pthread_mutex_lock
KLEE: WARNING: undefined reference to function: pthread_mutex_unlock
KLEE: WARNING: undefined reference to function: pthread_self
KLEE: WARNING: undefined reference to function: pthread_sigmask
KLEE: WARNING: undefined reference to function: removexattr
KLEE: WARNING: undefined reference to function: setxattr
KLEE: WARNING: undefined reference to function: truncate
KLEE: WARNING: undefined reference to function: uncompress
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 94606885932032) at /home/minjong/learch/klee/runtime/POSIX/fd.c:991 10
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: Alignment of memory from call "calloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling external: gettimeofday(94606891373024, 0) at /home/minjong/learch/klee/build/runtime/POSIX/home/minjong/learch/klee/runtime/POSIX/stubs.c:171 0
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_mutex_init(94606852042608, 0) at ../xorriso/base_obj.c:102 9
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: vprintf(94606639201200, 94606927030912) at libc/stdio/fprintf.c:35 14
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_mutex_lock(94606708967896) at ../libisofs/libiso_msgs.c:169 6
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_mutex_unlock(94606709200632) at ../libburn/libdax_msgs.c:180 6
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: getpid() at ../libburn/init.c:542 20
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: pthread_self() at ../libburn/init.c:543 23
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: sigaction: silently ignoring
KLEE: WARNING ONCE: calling external: pthread_mutex_destroy(94606709200632) at ../libburn/libdax_msgs.c:209 44
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: uname(94608908706624) at ../libburn/sg-linux.c:299 18
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: geteuid() at ../libisoburn/isoburn.c:865 5
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING ONCE: calling external: getegid() at ../libisoburn/isoburn.c:866 5
KLEE: WARNING ONCE: external modified read-only object (originally terminated state)
KLEE: WARNING: killing 358 states out of 13419 (over memory cap)
KLEE: WARNING: killing 320 states out of 13275 (over memory cap)
KLEE: WARNING: killing 324 states out of 13197 (over memory cap)
KLEE: WARNING: killing 363 states out of 13162 (over memory cap)
KLEE: WARNING: killing 332 states out of 13027 (over memory cap)
KLEE: WARNING: killing 315 states out of 12936 (over memory cap)
KLEE: WARNING: killing 335 states out of 12898 (over memory cap)
KLEE: WARNING: killing 308 states out of 12788 (over memory cap)
KLEE: WARNING: killing 306 states out of 12702 (over memory cap)
KLEE: WARNING: killing 358 states out of 12675 (over memory cap)
KLEE: WARNING: killing 319 states out of 12511 (over memory cap)
KLEE: WARNING: killing 305 states out of 12405 (over memory cap)
KLEE: WARNING: killing 305 states out of 12282 (over memory cap)
KLEE: WARNING: killing 296 states out of 12154 (over memory cap)
KLEE: WARNING: killing 311 states out of 12068 (over memory cap)
KLEE: WARNING: killing 293 states out of 11927 (over memory cap)
KLEE: WARNING: killing 285 states out of 11809 (over memory cap)
KLEE: WARNING: killing 285 states out of 11707 (over memory cap)
KLEE: WARNING: killing 291 states out of 11625 (over memory cap)
KLEE: WARNING: killing 279 states out of 11553 (over memory cap)
KLEE: WARNING: killing 299 states out of 11502 (over memory cap)
KLEE: WARNING: killing 286 states out of 11438 (over memory cap)
KLEE: WARNING: killing 283 states out of 11413 (over memory cap)
KLEE: WARNING: killing 285 states out of 11385 (over memory cap)
KLEE: WARNING: killing 292 states out of 11362 (over memory cap)
KLEE: WARNING: killing 275 states out of 11306 (over memory cap)
KLEE: WARNING: killing 299 states out of 11297 (over memory cap)
KLEE: WARNING: killing 276 states out of 11214 (over memory cap)
KLEE: WARNING: killing 269 states out of 11165 (over memory cap)
KLEE: WARNING: killing 268 states out of 11126 (over memory cap)
KLEE: WARNING: killing 289 states out of 11119 (over memory cap)
KLEE: WARNING: killing 266 states out of 11050 (over memory cap)
KLEE: WARNING: killing 273 states out of 10997 (over memory cap)
KLEE: WARNING: killing 275 states out of 10963 (over memory cap)
KLEE: WARNING: killing 271 states out of 10929 (over memory cap)
KLEE: WARNING: killing 268 states out of 10910 (over memory cap)
KLEE: WARNING: killing 275 states out of 10890 (over memory cap)
KLEE: WARNING: killing 265 states out of 10874 (over memory cap)
KLEE: WARNING: killing 261 states out of 10838 (over memory cap)
KLEE: WARNING: killing 261 states out of 10811 (over memory cap)
KLEE: WARNING: killing 260 states out of 10780 (over memory cap)
KLEE: WARNING: killing 277 states out of 10779 (over memory cap)
KLEE: WARNING: killing 271 states out of 10737 (over memory cap)
KLEE: WARNING: killing 263 states out of 10697 (over memory cap)
KLEE: WARNING: killing 257 states out of 10655 (over memory cap)
KLEE: WARNING: killing 261 states out of 10625 (over memory cap)
KLEE: WARNING: killing 267 states out of 10647 (over memory cap)
KLEE: WARNING: killing 259 states out of 10647 (over memory cap)
KLEE: WARNING: killing 257 states out of 10678 (over memory cap)
KLEE: WARNING: killing 265 states out of 10662 (over memory cap)
KLEE: WARNING: killing 259 states out of 10657 (over memory cap)
KLEE: WARNING: killing 265 states out of 10668 (over memory cap)
KLEE: WARNING: killing 264 states out of 10652 (over memory cap)
KLEE: WARNING: killing 259 states out of 10627 (over memory cap)
KLEE: WARNING: killing 273 states out of 10624 (over memory cap)
KLEE: WARNING: killing 255 states out of 10584 (over memory cap)
KLEE: WARNING: killing 286 states out of 10620 (over memory cap)
KLEE: WARNING: killing 267 states out of 10572 (over memory cap)
KLEE: WARNING: killing 257 states out of 10543 (over memory cap)
KLEE: WARNING: killing 256 states out of 10529 (over memory cap)
KLEE: WARNING: killing 254 states out of 10554 (over memory cap)
KLEE: WARNING: killing 255 states out of 10570 (over memory cap)
KLEE: WARNING: killing 257 states out of 10575 (over memory cap)
KLEE: WARNING: killing 263 states out of 10586 (over memory cap)
KLEE: WARNING: killing 259 states out of 10557 (over memory cap)
KLEE: WARNING: killing 259 states out of 10542 (over memory cap)
KLEE: WARNING: killing 259 states out of 10527 (over memory cap)
KLEE: WARNING: killing 258 states out of 10513 (over memory cap)
KLEE: WARNING: killing 254 states out of 10528 (over memory cap)
KLEE: WARNING: killing 263 states out of 10602 (over memory cap)
KLEE: WARNING: killing 255 states out of 10581 (over memory cap)
KLEE: WARNING: killing 255 states out of 10563 (over memory cap)
KLEE: WARNING: killing 254 states out of 10547 (over memory cap)
